secs,&nbsp;4 17:31+1&gt;1,&nbsp;4 17:34+0&gt;2
1,NaN,1.49
1.5,NaN,1.85
2,NaN,1.80
2.5,NaN,1.74
3,NaN,1.71
3.5,NaN,1.71
4,NaN,1.71
4.5,NaN,1.71
5,NaN,1.78
5.5,NaN,1.82
6,NaN,1.82
6.5,NaN,1.77
7,NaN,1.41
7.5,NaN,1.11
8,NaN,0.95
8.5,NaN,0.89
9,NaN,0.78
9.5,0.97,0.76
10,0.93,0.75
10.5,1.09,0.71
11,1.11,0.72
11.5,1.12,0.69
12,1.10,0.66
12.5,1.13,0.62
13,1.13,0.62
13.5,1.15,0.58
14,1.20,0.56
14.5,1.23,0.54
15,1.08,0.53
15.5,0.89,0.56
16,0.75,0.55
16.5,0.70,0.54
17,0.70,0.56
17.5,0.69,0.54
18,0.65,0.55
18.5,0.65,0.57
19,0.67,0.57
19.5,0.62,0.61
20,0.63,0.62
20.5,0.63,0.64
21,0.60,0.64
21.5,0.59,0.63
22,0.57,0.57
22.5,0.58,0.57
23,0.58,0.55
23.5,0.56,0.52
24,0.55,0.53
24.5,0.55,0.50
25,0.57,0.49
25.5,0.54,0.47
26,0.52,0.49
26.5,0.54,0.49
27,0.53,0.46
27.5,0.54,0.48
28,0.51,0.48
28.5,0.54,0.50
29,0.55,0.50
29.5,0.54,0.49
30,0.54,0.50
30.5,0.54,0.49
31,0.68,0.47
31.5,0.71,0.40
32,0.69,0.34
32.5,0.65,0.34
33,0.62,0.27
33.5,0.60,0.26
34,0.60,0.21
34.5,0.56,0.20
35,0.52,0.15
35.5,0.53,0.16
36,0.54,0.18
36.5,0.54,0.24
37,0.57,0.29
37.5,0.57,0.32
38,0.56,0.32
38.5,0.56,0.40
39,0.58,0.43
39.5,0.60,0.43
40,0.58,0.44
40.5,0.62,0.41
41,0.60,NaN
41.5,0.59,NaN
42,0.55,NaN
42.5,0.59,NaN
43,0.61,NaN
43.5,0.61,NaN
44,0.61,NaN
44.5,0.63,NaN
45,0.67,NaN
45.5,0.67,NaN
46,0.72,NaN
46.5,0.71,NaN
47,0.74,NaN
47.5,0.72,NaN
48,0.72,NaN
48.5,0.73,NaN
49,0.73,NaN
49.5,0.69,NaN
50,0.72,NaN
50.5,0.75,NaN
51,0.73,NaN
51.5,0.72,NaN
52,0.71,NaN
52.5,0.73,NaN
53,0.71,NaN
53.5,0.67,NaN
54,0.67,NaN
54.5,0.68,NaN
55,0.69,NaN
55.5,0.70,NaN
56,0.78,NaN
56.5,0.80,NaN
57,0.79,NaN
57.5,0.83,NaN
58,0.86,NaN
58.5,0.87,NaN
59,0.88,NaN
59.5,0.94,NaN
60,0.94,NaN
60.5,0.94,NaN
61,1.01,NaN
61.5,1.03,NaN
62,1.03,NaN
62.5,1.06,NaN
63,1.04,NaN
63.5,1.04,NaN
64,1.02,NaN
64.5,1.04,NaN
65,1.02,NaN
65.5,1.03,NaN
66,1.01,NaN
66.5,1.01,NaN
67,1.00,NaN
67.5,0.96,NaN
68,0.97,NaN
68.5,0.98,NaN
69,0.98,NaN
69.5,1.00,NaN
70,1.06,NaN
70.5,1.07,NaN
71,1.10,NaN
71.5,1.14,NaN
72,1.20,NaN
72.5,1.21,NaN
73,1.22,NaN
73.5,1.23,NaN
74,1.19,NaN
74.5,1.05,NaN
75,0.94,NaN
75.5,0.83,NaN
76,0.79,NaN
76.5,0.75,NaN
77,0.69,NaN
77.5,0.66,NaN
78,0.63,NaN
78.5,0.62,NaN
79,0.58,NaN
79.5,0.61,NaN
80,0.59,NaN
80.5,0.61,NaN
81,0.54,NaN
81.5,0.54,NaN
82,0.53,NaN
82.5,0.53,NaN
83,0.56,NaN
83.5,0.55,NaN
84,0.55,NaN
84.5,0.55,NaN
85,0.61,NaN
85.5,0.64,NaN
86,0.66,NaN
86.5,0.67,NaN
87,0.73,NaN
87.5,0.73,NaN
88,0.71,NaN
88.5,0.71,NaN
89,0.72,NaN
89.5,0.70,NaN
90,0.75,NaN
90.5,0.75,NaN
91,0.75,NaN
91.5,0.79,NaN
92,0.84,NaN
92.5,0.88,NaN
93,0.88,NaN
93.5,0.90,NaN
94,0.90,NaN
94.5,0.86,NaN
95,0.82,NaN
95.5,0.79,NaN
96,0.76,NaN
96.5,0.75,NaN
97,0.76,NaN
97.5,0.78,NaN
98,0.73,NaN
98.5,0.74,NaN
99,0.74,NaN
99.5,0.73,NaN
100,0.73,NaN
100.5,0.72,NaN
101,0.74,NaN
101.5,0.80,NaN
102,0.82,NaN
102.5,0.84,NaN
103,0.83,NaN
103.5,0.84,NaN
104,0.78,NaN
104.5,0.75,NaN
105,0.76,NaN
105.5,0.74,NaN
106,0.68,NaN
106.5,0.69,NaN
107,0.80,NaN
107.5,0.71,NaN
108,0.63,NaN
108.5,0.58,NaN
109,0.56,NaN
109.5,0.59,NaN
110,0.54,NaN
110.5,0.49,NaN
111,0.45,NaN
111.5,0.47,NaN
112,0.49,NaN
112.5,0.46,NaN
113,0.43,NaN
113.5,0.41,NaN
114,0.45,NaN
114.5,0.46,NaN
115,0.48,NaN
115.5,0.46,NaN
116,0.41,NaN
116.5,0.40,NaN
117,0.39,NaN
117.5,0.43,NaN
118,0.40,NaN
118.5,0.41,NaN
