secs,&nbsp;4 20:22+497&gt;20
0,0.00
1.5,-0.00
2,0.00
2.5,0.11
3,0.13
3.5,0.11
4,0.08
4.5,0.05
5,0.06
5.5,0.02
6,0.03
6.5,0.05
7,0.09
7.5,0.06
8,0.07
8.5,0.08
9,0.06
9.5,0.07
10,0.06
10.5,0.05
11,0.05
11.5,0.06
12,0.06
12.5,0.05
13,0.07
13.5,0.09
14,0.10
14.5,0.12
15,0.11
15.5,0.11
16,0.08
16.5,0.06
17,0.02
17.5,0.02
18,0.00
18.5,0.02
19,0.02
19.5,-0.00
20,0.02
20.5,0.04
21,0.04
21.5,0.06
22,0.05
22.5,0.09
23,0.09
23.5,0.09
24,0.08
24.5,0.09
25,0.11
25.5,0.14
26,0.15
26.5,0.16
27,0.16
27.5,0.17
28,0.19
28.5,0.19
29,0.13
29.5,0.11
30,0.11
30.5,0.10
31,0.12
31.5,0.10
32,0.11
32.5,0.12
33,0.13
33.5,0.11
34,0.12
34.5,0.14
35,0.11
35.5,0.10
36,0.10
36.5,0.10
37,0.10
37.5,0.09
38,0.08
38.5,0.04
39,0.05
39.5,0.07
40,0.07
40.5,0.07
41,0.07
41.5,0.04
42,0.04
42.5,0.07
43,0.05
43.5,0.07
44,0.08
44.5,0.09
45,0.08
45.5,0.06
46,0.08
46.5,0.08
47,0.08
47.5,0.10
48,0.12
48.5,0.10
49,0.10
49.5,0.09
50,0.09
50.5,0.13
51,0.11
51.5,0.12
52,0.10
52.5,0.08
53,0.08
53.5,0.09
54,0.08
54.5,0.09
55,0.08
55.5,0.09
56,0.05
56.5,0.06
57,0.08
57.5,0.06
58,0.06
58.5,0.06
59,0.08
59.5,0.10
60,0.10
60.5,0.11
61,0.13
61.5,0.13
62,0.09
62.5,0.10
63,0.10
63.5,0.09
64,0.10
64.5,0.13
65,0.14
65.5,0.12
66,0.10
66.5,0.11
67,0.11
67.5,0.11
68,0.13
68.5,0.14
69,0.13
69.5,0.13
70,0.16
70.5,0.16
71,0.15
71.5,0.17
72,0.19
72.5,0.16
73,0.14
73.5,0.10
74,0.11
74.5,0.11
75,0.13
75.5,0.10
76,0.08
76.5,0.12
77,0.25
77.5,0.24
78,0.21
78.5,0.21
79,0.20
79.5,0.20
80,0.18
80.5,0.19
81,0.22
81.5,0.29
82,0.29
82.5,0.27
83,0.22
83.5,0.17
84,0.15
84.5,0.13
85,0.11
85.5,0.12
86,0.15
86.5,0.14
87,0.14
87.5,0.11
88,0.09
88.5,0.10
89,0.10
89.5,0.11
90,0.11
90.5,0.13
91,0.15
91.5,0.17
92,0.18
92.5,0.21
93,0.24
93.5,0.23
94,0.24
94.5,0.27
95,0.29
95.5,0.27
96,0.29
96.5,0.30
97,0.30
97.5,0.31
98,0.34
98.5,0.36
99,0.36
99.5,0.37
100,0.40
100.5,0.40
101,0.39
101.5,0.41
102,0.43
102.5,0.41
103,0.42
103.5,0.42
104,0.41
104.5,0.40
105,0.40
105.5,0.41
106,0.38
106.5,0.38
107,0.38
107.5,0.35
108,0.37
108.5,0.35
109,0.33
109.5,0.32
110,0.29
110.5,0.25
111,0.22
111.5,0.23
112,0.21
112.5,0.18
113,0.20
113.5,0.18
114,0.17
114.5,0.19
115,0.17
115.5,0.15
116,0.13
116.5,0.13
117,0.15
117.5,0.15
118,0.13
118.5,0.13
119,0.12
119.5,0.11
120,0.10
120.5,0.11
121,0.10
121.5,0.10
122,0.12
122.5,0.11
123,0.13
123.5,0.14
124,0.14
124.5,0.17
125,0.17
125.5,0.14
126,0.15
126.5,0.16
127,0.17
127.5,0.16
128,0.15
128.5,0.18
129,0.18
129.5,0.14
130,0.13
130.5,0.16
131,0.14
131.5,0.14
132,0.12
132.5,0.11
133,0.15
133.5,0.15
134,0.14
134.5,0.16
135,0.18
135.5,0.20
136,0.18
136.5,0.18
137,0.19
137.5,0.20
138,0.21
138.5,0.18
139,0.19
139.5,0.16
140,0.19
140.5,0.17
141,0.21
141.5,0.22
142,0.24
142.5,0.20
143,0.24
143.5,0.22
144,0.20
144.5,0.22
145,0.22
145.5,0.21
146,0.19
146.5,0.18
147,0.20
147.5,0.18
148,0.18
148.5,0.18
149,0.19
149.5,0.18
150,0.19
150.5,0.22
151,0.20
151.5,0.17
152,0.21
152.5,0.27
153,0.26
153.5,0.28
154,0.30
154.5,0.29
155,0.30
155.5,0.33
156,0.35
156.5,0.36
157,0.36
157.5,0.33
158,0.33
158.5,0.34
159,0.35
159.5,0.37
160,0.37
160.5,0.37
161,0.39
161.5,0.37
162,0.38
162.5,0.39
163,0.38
163.5,0.37
164,0.34
164.5,0.34
165,0.33
165.5,0.31
166,0.32
166.5,0.32
167,0.32
167.5,0.36
168,0.35
168.5,0.30
169,0.29
169.5,0.32
170,0.31
170.5,0.33
171,0.33
171.5,0.34
172,0.34
172.5,0.34
173,0.32
173.5,0.32
174,0.35
174.5,0.33
175,0.34
175.5,0.34
176,0.32
176.5,0.33
177,0.36
177.5,0.34
178,0.34
178.5,0.34
179,0.32
179.5,0.29
180,0.27
180.5,0.25
181,0.25
181.5,0.24
182,0.25
182.5,0.24
183,0.22
183.5,0.22
184,0.20
184.5,0.20
185,0.21
185.5,0.20
186,0.22
186.5,0.19
187,0.16
187.5,0.16
188,0.16
188.5,0.20
189,0.22
189.5,0.21
190,0.21
190.5,0.23
191,0.24
191.5,0.25
192,0.23
192.5,0.21
193,0.18
193.5,0.19
194,0.18
194.5,0.16
195,0.12
195.5,0.13
196,0.12
196.5,0.13
197,0.14
197.5,0.15
198,0.15
198.5,0.13
199,0.10
199.5,0.07
200,0.07
200.5,0.07
201,0.06
201.5,0.05
202,0.02
202.5,-0.00
204,-0.00
205.5,-0.00
206,0.01
206.5,0.02
207,0.00
207.5,0.04
208,0.07
208.5,0.10
209,0.14
209.5,0.10
210,0.10
210.5,0.09
211,0.07
211.5,0.08
212,0.05
212.5,0.07
213,0.11
213.5,0.09
214,0.13
214.5,0.15
215,0.14
215.5,0.15
216,0.12
216.5,0.11
217,0.11
217.5,0.11
218,0.09
218.5,0.10
219,0.11
219.5,0.11
220,0.10
220.5,0.10
221,0.08
221.5,0.10
222,0.09
222.5,0.08
223,0.08
223.5,0.08
224,0.05
224.5,0.02
225,0.04
225.5,0.10
226,0.10
226.5,0.11
227,0.12
227.5,0.13
228,0.15
228.5,0.21
229,0.24
229.5,0.24
230,0.28
230.5,0.33
231,0.33
231.5,0.29
232,0.29
232.5,0.28
233,0.26
233.5,0.27
234,0.26
234.5,0.27
235,0.27
235.5,0.34
236,0.33
236.5,0.31
237,0.27
237.5,0.25
238,0.24
238.5,0.21
239,0.22
239.5,0.24
240,0.23
240.5,0.33
241,0.33
241.5,0.29
242,0.26
242.5,0.25
243,0.25
243.5,0.25
244,0.25
244.5,0.25
245,0.24
245.5,0.21
246,0.18
246.5,0.20
247,0.21
247.5,0.23
248,0.21
248.5,0.25
249,0.27
249.5,0.26
250,0.24
250.5,0.22
251,0.25
251.5,0.26
252,0.25
252.5,0.21
253,0.21
253.5,0.20
254,0.25
254.5,0.22
255,0.22
255.5,0.23
256,0.23
256.5,0.21
257,0.20
257.5,0.21
258,0.22
258.5,0.21
259,0.25
259.5,0.24
260,0.22
260.5,0.25
261,0.24
261.5,0.22
262,0.22
262.5,0.21
263,0.21
263.5,0.22
264,0.21
264.5,0.20
265,0.19
265.5,0.17
266,0.18
266.5,0.18
267,0.16
267.5,0.16
268,0.19
268.5,0.19
269,0.18
269.5,0.19
270,0.21
270.5,0.21
271,0.20
271.5,0.20
272,0.18
272.5,0.17
273,0.18
273.5,0.21
274,0.21
274.5,0.17
275,0.17
275.5,0.19
276,0.19
276.5,0.16
277,0.18
277.5,0.16
278,0.12
278.5,0.12
279,0.12
279.5,0.11
280,0.11
280.5,0.12
281,0.12
281.5,0.14
282,0.15
282.5,0.14
283,0.13
283.5,0.14
284,0.14
284.5,0.15
285,0.13
285.5,0.12
286,0.11
286.5,0.12
287,0.12
287.5,0.13
288,0.13
288.5,0.15
289,0.15
289.5,0.17
290,0.18
290.5,0.19
291,0.19
291.5,0.20
292,0.19
292.5,0.17
293,0.16
293.5,0.14
294,0.12
294.5,0.13
295,0.11
295.5,0.10
296,0.11
296.5,0.09
297,0.11
297.5,0.10
298,0.12
298.5,0.11
299,0.07
299.5,0.04
300,0.05
300.5,0.07
301,0.09
301.5,0.10
302,0.09
302.5,0.09
303,0.10
303.5,0.05
304,0.07
304.5,0.07
305,0.07
305.5,0.07
306,0.06
306.5,0.04
307,0.03
307.5,0.07
308,0.08
308.5,0.08
309,0.07
309.5,0.07
310,0.06
310.5,0.08
311,0.08
311.5,0.08
312,0.06
312.5,0.09
313,0.09
313.5,0.08
314,0.11
314.5,0.10
315,0.07
315.5,0.07
316,0.09
316.5,0.09
317,0.08
317.5,0.07
318,0.08
318.5,0.11
319,0.09
319.5,0.03
335.5,0.01
336,0.02
336.5,0.05
337,0.01
337.5,0.02
338,0.01
339,0.01
339.5,0.01
340,0.02
340.5,0.01
342,-0.00
345,-0.00
345.5,0.03
346,0.02
346.5,0.04
347,0.04
347.5,0.05
348,0.06
348.5,0.03
349,0.02
349.5,0.01
350,0.01
381,0.00
381.5,0.00
382,0.05
382.5,0.05
383,0.11
383.5,0.17
384,0.13
384.5,0.11
385,0.10
385.5,0.12
386,0.12
386.5,0.11
387,0.12
387.5,0.11
388,0.18
388.5,0.16
389,0.13
389.5,0.13
390,0.11
390.5,0.10
391,0.10
391.5,0.10
392,0.12
392.5,0.14
393,0.22
393.5,0.18
394,0.12
394.5,0.09
395,0.09
395.5,0.06
396,0.03
396.5,0.02
397,0.03
397.5,0.04
398,0.03
398.5,0.03
399,0.03
399.5,0.04
400,0.02
400.5,0.02
401,0.02
401.5,-0.00
418,0.00
419,0.00
11641.5,0.01
11642,0.02
11768,0.04
11908,0.01
11908.5,0.00
11912,0.00
11912.5,0.01
11922,0.01
11922.5,0.00
11926,0.01
11927,-0.00
12003.5,0.00
12014.5,-0.00
12015,0.01
12018,-0.00
12018.5,0.01
12019,0.01
12019.5,0.03
12020,0.00
12021.5,0.03
12022,0.02
12022.5,0.04
12023,0.06
12023.5,0.04
12024,0.06
12024.5,0.07
12025,0.08
12025.5,0.10
12026,0.10
12026.5,0.11
12027,0.09
12027.5,0.09
12028,0.09
12028.5,0.10
12029,0.11
12029.5,0.13
12030,0.10
12030.5,0.11
12031,0.09
12031.5,0.10
12032,0.11
12032.5,0.14
12033,0.14
12033.5,0.12
12034,0.11
12034.5,0.14
12035,0.14
12035.5,0.17
12036,0.17
12036.5,0.18
12037,0.19
12037.5,0.17
12038,0.14
12038.5,0.17
12039,0.17
12039.5,0.20
12040,0.20
12040.5,0.27
12041,0.29
12041.5,0.32
12042,0.31
12042.5,0.28
12043,0.26
12043.5,0.23
12044,0.21
12044.5,0.20
12045,0.19
12045.5,0.19
12046,0.28
12046.5,0.27
12047,0.25
12047.5,0.22
12048,0.21
12048.5,0.19
12049,0.16
12049.5,0.17
12050,0.18
12050.5,0.26
12051,0.26
12051.5,0.24
12052,0.20
12052.5,0.17
12053,0.16
12053.5,0.13
12054,0.14
12054.5,0.14
12055,0.19
12055.5,0.17
12056,0.11
12056.5,0.08
12057,0.05
12057.5,0.06
12058,0.04
12058.5,0.05
12059,0.06
12059.5,0.06
12060,0.00
12060.5,-0.00
12061.5,0.00
12062,0.00
12063,-0.00
12100.5,-0.00
12101,0.03
12101.5,0.02
12102,0.03
12102.5,0.05
12103,0.04
12103.5,0.02
12104,0.03
12104.5,0.03
12105,0.02
12105.5,0.01
12106,0.01
12106.5,-0.00
12107,-0.00
12108,0.01
12108.5,0.00
12109,0.01
12110,0.00
12110.5,0.03
12111,0.03
12111.5,0.02
12112,0.02
12112.5,0.01
12118.5,-0.00
12120.5,0.01
12121,0.02
12121.5,0.03
12122,0.05
12122.5,0.03
12123,0.04
12123.5,0.05
12124,0.04
12124.5,0.02
12125,0.03
12125.5,0.05
12126,0.05
12126.5,0.09
12127,0.07
12127.5,0.06
12128,0.08
12128.5,0.09
12129,0.12
12129.5,0.09
12130,0.10
12130.5,0.09
12131,0.10
12131.5,0.09
12132,0.10
12132.5,0.04
12133,0.04
12133.5,0.01
12134,-0.00
12134.5,0.00
12178.5,0.01
12179,0.00
12179.5,0.01
12180,0.00
12180.5,0.07
12181,0.07
12181.5,0.05
12182,-0.00
12182.5,-0.00
12183,-0.00
12184,-0.00
12184.5,0.02
12185,0.10
12185.5,0.08
12186,0.07
12186.5,0.05
12187,0.02
12187.5,0.03
12188,0.04
12188.5,0.03
12189,0.07
12189.5,0.18
12190,0.13
12190.5,0.06
12191,0.02
12191.5,0.01
12192,0.02
12192.5,0.00
12193,0.01
12193.5,0.02
12194,0.00
12194.5,0.02
12195,0.03
12195.5,0.02
12196.5,-0.00
12200.5,0.01
12210.5,0.02
12211,0.02
12211.5,-0.00
12212,0.00
12223,0.01
12223.5,-0.00
12224,0.00
12225,0.01
12307,-0.00
12307.5,0.01
12313.5,0.00
12314,0.01
12314.5,0.01
12315,0.05
12315.5,0.08
12316,0.13
12316.5,0.14
12317,0.10
12317.5,0.08
12318,0.06
12318.5,0.15
12319,0.17
12319.5,0.12
12320,0.13
12320.5,0.12
12321,0.11
12321.5,0.12
12322,0.09
12322.5,0.09
12323,0.13
12323.5,0.17
12324,0.16
12324.5,0.17
12325,0.13
12325.5,0.13
12326,0.13
12326.5,0.14
12327,0.15
12327.5,0.23
12328,0.20
12328.5,0.14
12329,0.09
12329.5,0.05
12330,0.12
12330.5,0.16
12331,0.17
12331.5,0.20
12332,0.22
12332.5,0.22
12333,0.21
12333.5,0.22
