secs,&nbsp;4 18:53+6&gt;1
1.5,0.23
2,0.18
2.5,0.19
3,0.12
3.5,0.02
18,-0.00
19,0.05
19.5,0.10
20,0.07
20.5,0.06
21,0.05
21.5,0.06
22,0.05
22.5,0.04
23,0.05
23.5,0.07
24,0.16
24.5,0.13
25,0.05
25.5,0.01
53.5,-0.00
54,0.00
79.5,-0.00
80,0.00
80.5,0.01
81,0.01
81.5,0.01
82,0.02
82.5,-0.00
83,0.01
83.5,0.02
84,0.02
84.5,0.03
85,0.03
85.5,0.02
86,0.00
87,-0.00
87.5,-0.00
89.5,0.00
90,0.00
108.5,-0.00
131,0.01
131.5,-0.00
134,-0.00
135.5,0.00
136,0.00
136.5,0.02
137,0.00
137.5,0.02
138,0.04
138.5,0.08
139,0.10
139.5,0.11
140,0.12
140.5,0.10
141,0.08
141.5,0.06
142,0.03
145.5,0.01
146,0.02
146.5,0.02
147,0.01
147.5,-0.00
151,0.01
151.5,0.00
152.5,-0.00
156,-0.00
156.5,-0.00
158,0.00
158.5,0.04
159,0.03
159.5,0.01
160,0.00
160.5,-0.00
161.5,-0.00
162,0.02
162.5,0.03
163,0.06
163.5,0.02
164,0.01
164.5,0.02
165,0.03
165.5,0.01
166,0.02
166.5,0.01
167,0.03
167.5,0.02
168,0.09
168.5,0.12
169,0.10
169.5,0.18
170,0.23
170.5,0.20
171,0.17
171.5,0.18
172,0.15
172.5,0.12
173,0.11
173.5,0.09
174,0.09
174.5,0.15
175,0.17
175.5,0.13
176,0.12
176.5,0.11
177,0.11
177.5,0.11
178,0.10
178.5,0.13
179,0.12
179.5,0.20
180,0.19
180.5,0.14
181,0.10
181.5,0.07
182,0.07
182.5,0.07
183,0.06
183.5,0.05
184,0.07
184.5,0.06
185,0.05
185.5,0.05
186,0.08
186.5,0.09
187,0.08
187.5,0.07
188,0.08
188.5,0.07
189,0.09
189.5,0.09
190,0.07
190.5,0.07
191,0.07
191.5,0.07
192,0.06
192.5,0.03
193,0.04
193.5,0.04
194,0.04
194.5,0.01
195,0.00
195.5,0.01
196,0.03
196.5,0.05
197,0.05
197.5,0.06
198,0.06
198.5,0.05
199,0.06
199.5,0.05
200,0.05
200.5,0.07
201,0.07
201.5,0.05
202,0.08
202.5,0.11
203,0.12
203.5,0.12
204,0.15
204.5,0.13
205,0.17
205.5,0.16
206,0.14
206.5,0.15
207,0.17
207.5,0.18
208,0.23
208.5,0.23
209,0.22
209.5,0.21
210,0.22
210.5,0.20
211,0.18
211.5,0.21
212,0.21
212.5,0.21
213,0.19
