secs,&nbsp;4 17:21+1&gt;9,&nbsp;5b 17:23+1&gt;10,&nbsp;6a 17:26+1&gt;9,&nbsp;6a 17:32+2&gt;11,&nbsp;6a 17:38+2&gt;9,&nbsp;5b 17:41+1&gt;11,&nbsp;5c 17:44+1&gt;9,-6a+ 17:47+0&gt;3,-6a+ 17:48+2&gt;10,&nbsp;7a 18:24+3&gt;8,&nbsp;6a+ 18:33+2&gt;8,-6b+ 18:59+2&gt;2,&nbsp;5a 19:03+1&gt;7,&nbsp;6b+ 19:08+2&gt;8,&nbsp;6c 19:31+2&gt;5,&nbsp;6a+ 19:33+0&gt;5,&nbsp;6a+ 19:56+2&gt;9,&nbsp;5b 19:59+1&gt;7,&nbsp;6a 20:12+2&gt;8,&nbsp;6b 20:18+4&gt;10
0,NaN,0.00,NaN,NaN,NaN,NaN,NaN,NaN,0.00,NaN,NaN,NaN,NaN,NaN,0.00,NaN,NaN,NaN,NaN,NaN
1,0.00,0.01,0.01,NaN,NaN,-0.00,0.00,0.00,-0.00,-0.00,0.00,NaN,NaN,-0.00,NaN,NaN,0.01,0.00,0.00,0.01
1.5,0.30,0.33,0.04,0.00,-0.00,0.00,0.08,0.28,NaN,0.04,0.31,0.30,-0.00,NaN,0.05,0.05,0.01,-0.00,0.29,0.31
2,0.30,0.32,0.16,0.28,0.16,0.15,0.11,0.23,NaN,0.08,0.30,0.26,0.35,NaN,0.10,0.06,0.12,0.07,0.28,0.28
2.5,0.24,0.27,0.18,0.15,0.00,0.20,0.14,0.15,NaN,0.12,0.23,0.19,0.28,NaN,0.14,0.03,0.13,0.03,0.18,0.19
3,0.19,0.25,0.23,0.07,NaN,0.24,0.16,0.12,NaN,0.15,0.18,0.15,0.27,NaN,0.15,0.07,0.14,NaN,0.17,0.16
3.5,0.15,0.27,0.25,0.01,NaN,0.25,0.17,0.13,NaN,0.18,0.17,0.07,0.25,NaN,0.15,0.06,0.14,NaN,0.14,0.12
4,0.14,0.29,0.24,NaN,NaN,0.25,0.16,0.14,NaN,0.20,0.16,0.05,0.26,NaN,0.19,0.04,0.16,NaN,0.11,0.12
4.5,0.15,0.28,0.27,NaN,NaN,0.28,0.15,0.19,NaN,0.22,0.14,-0.00,0.26,NaN,0.18,0.05,0.15,NaN,0.07,0.11
5,0.21,0.36,0.38,0.00,NaN,0.40,0.17,0.25,NaN,0.24,0.13,NaN,0.26,-0.00,0.21,0.09,0.18,NaN,0.04,0.12
5.5,0.24,0.41,0.47,0.02,NaN,0.57,0.17,0.27,NaN,0.27,0.15,NaN,0.27,0.01,0.22,0.11,0.22,NaN,0.01,0.09
6,0.31,0.46,0.57,0.11,NaN,0.74,0.14,0.37,0.01,0.25,0.17,NaN,0.27,0.01,0.23,0.12,0.20,NaN,NaN,0.10
6.5,0.37,0.58,0.65,0.25,NaN,0.82,0.15,0.56,0.15,0.20,0.21,NaN,0.24,0.00,0.23,0.11,0.21,NaN,NaN,0.09
7,0.42,0.66,0.74,0.38,0.01,0.97,0.13,0.72,0.31,0.19,0.23,NaN,0.23,0.02,0.24,0.12,0.22,NaN,NaN,0.10
7.5,0.43,0.73,0.89,0.47,0.07,1.07,0.13,0.84,0.43,0.20,0.27,NaN,0.26,0.10,0.27,0.19,0.20,NaN,NaN,0.13
8,0.49,0.78,1.03,0.55,0.33,1.15,0.19,0.94,0.52,0.28,0.28,NaN,0.24,0.14,0.27,0.33,0.18,NaN,NaN,0.15
8.5,0.49,0.84,1.13,0.62,0.54,1.21,0.24,1.00,0.55,0.39,0.22,NaN,0.27,0.22,0.28,0.38,0.15,NaN,NaN,0.14
9,0.53,0.88,1.20,0.67,0.68,1.23,0.27,1.01,0.59,0.56,0.21,NaN,0.34,0.27,0.31,0.42,0.18,NaN,NaN,0.14
9.5,0.65,0.90,1.24,0.81,0.77,1.29,0.30,1.06,0.60,0.73,0.36,NaN,0.41,0.39,0.30,0.46,0.16,NaN,NaN,0.16
10,0.72,0.90,1.27,0.87,0.80,1.30,0.35,1.10,0.65,0.80,0.37,NaN,0.43,0.44,0.30,0.48,0.15,NaN,NaN,0.19
