secs,&nbsp;4 13:47+1&gt;7
0,0.00
0.5,-0.00
1,0.16
1.5,0.15
2,0.12
2.5,0.09
3,0.06
3.5,0.05
4,0.04
4.5,0.01
5,0.02
6,0.03
6.5,0.05
7,0.04
7.5,0.03
8,0.08
8.5,0.10
9,0.12
9.5,0.12
10,0.14
10.5,0.14
11,0.16
11.5,0.17
12,0.18
12.5,0.21
13,0.23
13.5,0.23
14,0.23
14.5,0.25
15,0.23
15.5,0.25
16,0.35
16.5,0.35
17,0.34
17.5,0.33
18,0.34
18.5,0.29
19,0.26
19.5,0.28
20,0.30
20.5,0.33
21,0.39
21.5,0.54
22,0.76
22.5,0.99
23,1.26
23.5,1.60
24,1.85
24.5,2.13
25,2.42
25.5,2.69
26,2.97
26.5,3.25
27,3.48
27.5,3.59
28,3.71
28.5,3.79
29,3.83
29.5,3.91
30,3.98
30.5,4.04
31,4.08
31.5,4.05
32,4.04
32.5,4.03
33,4.01
33.5,4.01
34,4.03
34.5,3.99
35,4.01
35.5,4.00
36,3.98
36.5,3.97
37,3.95
37.5,3.99
38,3.98
38.5,3.99
39,3.98
39.5,3.98
40,3.95
40.5,3.97
41,3.98
41.5,3.96
42,3.94
42.5,3.94
43,3.95
43.5,3.97
44,3.97
44.5,3.94
45,4.01
45.5,4.14
46,4.37
46.5,4.56
47,4.87
47.5,5.11
48,5.36
48.5,5.67
49,5.97
49.5,6.20
50,6.39
50.5,6.52
51,6.65
51.5,6.79
52,6.92
52.5,6.94
53,6.94
53.5,6.94
54,6.95
54.5,6.93
55,6.89
55.5,6.88
56,6.90
56.5,6.93
57,6.96
57.5,6.99
58,6.98
58.5,6.96
59,6.97
59.5,6.98
60,7.00
60.5,6.98
61,7.02
61.5,7.03
62,7.08
62.5,7.06
63,7.05
63.5,7.07
64,7.09
64.5,7.07
65,7.06
65.5,7.06
66,7.10
66.5,7.09
67,7.08
67.5,7.07
68,7.00
68.5,6.92
69,6.77
69.5,6.61
70,6.38
70.5,6.07
71,5.80
71.5,5.50
72,5.21
72.5,4.92
73,4.61
73.5,4.32
74,3.97
74.5,3.63
75,3.30
75.5,2.94
76,2.60
76.5,2.43
77,2.08
77.5,1.74
78,1.42
78.5,1.13
79,0.87
79.5,0.71
80,0.58
80.5,0.49
81,0.43
81.5,0.34
82,0.30
82.5,0.25
83,0.25
83.5,0.23
84,0.19
84.5,0.17
85,0.10
85.5,0.11
86,0.14
86.5,0.13
87,0.13
87.5,0.12
88,0.12
