secs,&nbsp;5a 17:55+0&gt;8,&nbsp;5a 17:57+1&gt;8
1.5,0.01,0.15
2,0.01,0.11
2.5,0.05,0.09
3,0.10,0.03
3.5,0.12,0.02
4,0.09,0.04
4.5,0.12,0.03
5,0.17,0.06
5.5,0.16,0.09
6,0.15,0.11
6.5,0.12,0.12
7,0.13,0.17
7.5,0.11,0.23
8,0.08,0.27
8.5,0.09,0.40
9,0.13,0.54
9.5,0.17,0.63
10,0.10,0.71
10.5,0.11,0.81
11,0.13,0.92
11.5,0.20,1.05
12,0.25,1.15
12.5,0.39,1.19
13,0.50,1.30
13.5,0.58,1.38
14,0.68,1.50
14.5,0.80,1.61
15,0.88,1.69
15.5,0.89,1.76
16,1.15,1.92
16.5,1.31,2.04
17,1.44,2.22
17.5,1.56,2.34
18,1.66,2.44
18.5,1.77,2.42
19,1.86,2.43
19.5,1.99,2.47
20,2.13,2.48
20.5,2.22,2.49
21,2.32,2.53
21.5,2.44,2.58
22,2.50,2.66
22.5,2.58,2.74
23,2.61,2.90
23.5,2.73,3.06
24,2.88,3.13
24.5,3.04,3.22
25,3.15,3.36
25.5,3.25,3.47
26,3.28,3.55
26.5,3.34,3.60
27,3.46,3.67
27.5,3.53,3.73
28,3.60,3.74
28.5,3.69,3.83
29,3.77,3.86
29.5,3.86,3.91
30,3.92,3.94
30.5,3.94,3.96
31,3.99,4.01
31.5,4.12,4.09
32,4.19,4.08
32.5,4.25,4.15
33,4.31,4.26
33.5,4.40,4.30
34,4.50,4.34
34.5,4.60,4.37
35,4.78,4.48
35.5,4.87,4.61
36,5.00,4.68
36.5,5.14,4.70
37,5.22,4.73
37.5,5.32,4.80
38,5.36,4.92
38.5,5.39,5.08
39,5.45,5.18
39.5,5.56,5.28
40,5.65,5.37
40.5,5.74,5.41
41,5.77,5.44
41.5,5.83,5.47
42,5.92,5.55
42.5,6.07,5.64
43,6.17,5.75
43.5,6.24,5.81
44,6.36,5.80
44.5,6.48,5.79
45,6.61,5.82
45.5,6.76,5.83
46,6.82,5.88
46.5,6.82,5.97
47,6.76,6.07
47.5,6.79,6.13
48,6.86,6.21
48.5,6.91,6.36
49,7.00,6.39
49.5,7.07,6.46
50,7.11,6.56
50.5,7.18,6.60
51,7.39,6.65
51.5,7.60,6.66
52,7.69,6.69
52.5,7.80,6.75
53,7.91,6.85
53.5,8.02,7.02
54,8.08,7.12
54.5,8.15,7.21
55,8.25,7.23
55.5,8.33,7.28
56,8.29,7.36
56.5,8.29,7.44
57,8.30,7.66
57.5,8.26,7.76
58,8.23,7.88
58.5,8.20,7.99
59,8.16,8.02
59.5,8.08,8.06
60,7.99,8.10
60.5,7.82,8.25
61,7.61,8.36
61.5,7.48,8.35
62,7.30,8.35
62.5,7.01,8.36
63,6.73,8.39
63.5,6.40,8.31
64,6.03,8.27
64.5,5.68,8.20
65,5.32,8.18
65.5,4.98,8.13
66,4.67,8.06
66.5,4.52,7.93
67,4.18,7.83
67.5,3.84,7.66
68,3.49,7.52
68.5,3.18,7.34
69,2.85,7.18
69.5,2.43,6.98
70,1.99,6.81
70.5,1.58,6.62
71,1.23,6.39
71.5,0.85,6.17
72,0.59,5.95
72.5,0.41,5.72
73,0.30,5.62
73.5,0.21,5.43
74,0.18,5.23
74.5,0.14,5.05
75,0.12,4.84
75.5,NaN,4.64
76,NaN,4.40
76.5,NaN,4.12
77,NaN,3.94
77.5,NaN,3.65
78,NaN,3.22
78.5,NaN,2.84
79,NaN,2.50
79.5,NaN,2.09
80,NaN,1.65
80.5,NaN,1.23
81,NaN,0.91
81.5,NaN,0.68
82,NaN,0.54
82.5,NaN,0.47
83,NaN,0.41
83.5,NaN,0.35
84,NaN,0.32
84.5,NaN,0.30
85,NaN,0.23
85.5,NaN,0.19
86,NaN,0.17
86.5,NaN,0.12
87,NaN,0.06
87.5,NaN,0.04
88,NaN,0.05
88.5,NaN,0.03
89,NaN,0.04
89.5,NaN,0.05
90,NaN,0.07
90.5,NaN,0.09
91,NaN,0.09
91.5,NaN,0.07
