secs,-5a 21:41+7&gt;1
9,-0.00
9.5,0.14
10,0.06
10.5,-0.00
33.5,-0.00
34,-0.00
34.5,0.01
35,0.01
37,0.01
37.5,0.01
64.5,0.01
65,0.01
65.5,0.03
66,0.05
66.5,0.06
67,0.08
67.5,0.06
68,0.04
68.5,0.05
69,0.05
69.5,0.05
70,0.05
70.5,0.02
71,0.03
71.5,0.04
72,0.05
72.5,0.05
73,0.06
73.5,0.06
74,0.07
74.5,0.10
75,0.13
75.5,0.15
76,0.14
76.5,0.15
77,0.14
77.5,0.15
78,0.14
78.5,0.12
79,0.11
79.5,0.10
80,0.08
80.5,0.08
81,0.08
81.5,0.09
82,0.08
82.5,0.07
83,0.06
83.5,0.07
84,0.08
84.5,0.08
85,0.10
85.5,0.10
86,0.06
86.5,0.07
87,0.05
87.5,0.06
88,0.05
88.5,0.03
89,0.02
89.5,0.02
90,0.01
90.5,0.01
91,0.01
91.5,0.02
92,0.03
92.5,0.03
93,0.05
93.5,0.05
94,0.06
94.5,0.07
95,0.08
95.5,0.09
96,0.08
96.5,0.05
97,0.07
97.5,0.05
98,0.06
98.5,0.07
99,0.05
99.5,0.08
100,0.08
100.5,0.06
101,0.06
101.5,0.04
102,0.06
102.5,0.04
103,0.04
103.5,0.02
104,0.02
104.5,0.00
105,0.01
116.5,0.05
117,0.05
117.5,0.04
118,0.03
118.5,0.04
119,0.04
119.5,0.02
120,0.05
120.5,0.04
121,0.03
121.5,0.03
122,0.02
122.5,0.00
154.5,-0.00
155,0.00
155.5,0.01
212,0.01
212.5,0.02
213,0.00
213.5,0.01
214,0.01
214.5,0.16
215,0.16
215.5,0.14
216,0.13
216.5,0.12
217,0.09
217.5,0.05
218,0.03
218.5,0.02
219,0.02
270,0.01
270.5,0.02
271,0.05
271.5,0.09
272,0.09
272.5,0.10
273,0.07
273.5,0.08
274,0.09
274.5,0.08
275,0.10
275.5,0.12
276,0.14
276.5,0.15
277,0.17
277.5,0.16
278,0.15
278.5,0.11
279,0.13
279.5,0.12
280,0.13
280.5,0.10
281,0.08
281.5,0.08
282,0.08
282.5,0.10
283,0.09
283.5,0.09
284,0.09
284.5,0.09
285,0.10
285.5,0.08
286,0.05
286.5,0.02
287,0.04
287.5,0.05
288,0.03
288.5,0.04
289,0.04
289.5,0.04
290,0.03
290.5,0.02
291,0.01
291.5,0.00
293.5,-0.00
295,-0.00
295.5,-0.00
296,0.00
296.5,0.01
297,0.02
297.5,0.02
298,-0.00
298.5,0.00
314.5,0.00
315,0.02
315.5,0.01
316,0.00
316.5,0.03
317,0.03
317.5,0.00
318,0.05
318.5,0.10
319,0.10
319.5,0.11
320,0.11
320.5,0.21
321,0.19
321.5,0.16
322,0.11
322.5,0.10
323,0.09
323.5,0.07
324,0.11
324.5,0.10
325,0.05
325.5,-0.00
326.5,0.04
327,0.04
327.5,0.01
332.5,-0.00
333,-0.00
335,-0.00
335.5,0.01
337.5,-0.00
339,0.00
345.5,-0.00
346.5,0.01
349,-0.00
349.5,0.01
350,0.02
350.5,0.02
351,0.02
351.5,-0.00
366,0.01
366.5,0.03
367,0.03
367.5,0.02
368,0.03
368.5,0.03
369,0.03
369.5,0.07
370,0.08
370.5,0.06
371,0.07
371.5,0.06
372,0.04
372.5,0.06
373,0.03
381.5,0.00
382,-0.00
382.5,-0.00
395.5,-0.00
396,0.02
396.5,0.06
397,0.09
397.5,0.12
398,0.15
398.5,0.17
399,0.17
399.5,0.18
400,0.18
400.5,0.20
401,0.17
401.5,0.16
402,0.13
402.5,0.11
403,0.09
403.5,0.09
404,0.07
404.5,0.06
405,0.04
405.5,0.04
406,0.02
406.5,0.03
407,0.03
407.5,0.06
408,0.08
408.5,0.09
409,0.08
409.5,0.09
410,0.11
410.5,0.12
411,0.14
411.5,0.13
412,0.12
412.5,0.11
413,0.11
413.5,0.11
414,0.10
414.5,0.14
415,0.15
415.5,0.19
416,0.19
416.5,0.23
417,0.24
417.5,0.25
418,0.26
418.5,0.29
419,0.31
419.5,0.35
420,0.38
420.5,0.40
421,0.43
421.5,0.45
422,0.47
422.5,0.48
423,0.51
423.5,0.52
424,0.53
424.5,0.53
425,0.55
425.5,0.56
426,0.56
426.5,0.56
427,0.55
427.5,0.50
428,0.47
428.5,0.46
429,0.45
429.5,0.42
430,0.41
430.5,0.40
431,0.42
431.5,0.41
432,0.41
432.5,0.39
433,0.37
433.5,0.34
434,0.30
434.5,0.25
435,0.19
435.5,0.16
436,0.17
436.5,0.15
437,0.18
437.5,0.19
438,0.24
438.5,0.24
439,0.43
439.5,0.41
440,0.38
440.5,0.38
441,0.43
441.5,0.51
442,0.56
442.5,0.64
443,0.72
443.5,0.80
444,0.89
444.5,0.96
445,1.06
445.5,1.04
446,1.00
446.5,0.95
447,0.90
447.5,0.88
448,0.88
448.5,0.89
449,0.88
449.5,0.86
450,0.85
450.5,0.86
451,0.85
451.5,0.84
452,0.80
452.5,0.78
453,0.80
453.5,0.78
454,0.75
454.5,0.73
455,0.69
455.5,0.70
456,0.68
456.5,0.68
457,0.70
457.5,0.68
458,0.67
458.5,0.67
459,0.66
459.5,0.65
460,0.64
460.5,0.61
461,0.59
461.5,0.60
462,0.58
462.5,0.56
463,0.57
463.5,0.55
464,0.55
464.5,0.60
465,0.60
465.5,0.59
466,0.60
466.5,0.58
467,0.62
467.5,0.64
468,0.65
468.5,0.66
469,0.70
469.5,0.71
470,0.74
470.5,0.72
471,0.73
471.5,0.74
472,0.74
472.5,0.71
473,0.73
473.5,0.74
474,0.74
474.5,0.73
475,0.74
475.5,0.72
476,0.74
476.5,0.74
477,0.73
477.5,0.71
478,0.68
478.5,0.65
479,0.65
479.5,0.65
480,0.59
480.5,0.59
481,0.57
481.5,0.54
482,0.53
482.5,0.51
483,0.50
483.5,0.46
484,0.42
484.5,0.41
485,0.39
485.5,0.39
486,0.36
486.5,0.37
487,0.40
487.5,0.40
488,0.40
488.5,0.42
489,0.43
