secs,&nbsp;? 08:36+10&gt;34
0.5,0.00
1,0.17
1.5,0.16
2,0.11
2.5,0.03
3,0.02
20.5,0.01
21,0.03
21.5,0.05
22,0.08
22.5,0.11
23,0.12
23.5,0.11
24,0.12
24.5,0.12
25,0.12
25.5,0.07
26,0.06
26.5,0.05
27,0.05
27.5,-0.00
28,0.00
33.5,0.01
34,0.04
34.5,0.10
35,0.19
35.5,0.30
36,0.43
36.5,0.55
37,0.79
37.5,0.95
38,1.11
38.5,1.31
39,1.22
39.5,1.07
40,0.98
40.5,0.86
41,0.76
41.5,0.60
42,0.28
42.5,0.08
130.5,0.05
131,0.11
131.5,0.26
132,0.51
132.5,0.74
133,1.03
133.5,1.28
134,1.47
134.5,1.71
135,1.95
135.5,2.12
136,2.24
136.5,2.35
137,2.38
137.5,2.55
138,2.68
138.5,2.76
139,2.85
139.5,2.88
140,2.96
140.5,3.03
141,3.10
141.5,3.09
142,3.08
142.5,3.08
143,2.98
143.5,2.96
144,2.94
144.5,2.91
145,2.93
145.5,2.93
146,2.93
146.5,2.94
147,2.89
147.5,2.82
148,2.79
148.5,2.80
149,2.84
149.5,2.79
150,2.71
150.5,2.60
151,2.52
151.5,2.55
152,2.53
152.5,2.57
153,2.52
153.5,2.56
154,2.57
154.5,2.62
155,2.64
155.5,2.68
156,2.73
156.5,2.86
157,2.99
157.5,3.12
158,3.24
158.5,3.35
159,3.47
159.5,3.57
160,3.62
160.5,3.71
161,3.76
161.5,3.88
162,3.90
162.5,4.05
163,4.14
163.5,4.29
164,4.43
164.5,4.55
165,4.58
165.5,4.73
166,4.79
166.5,4.86
167,4.85
167.5,4.97
168,5.09
168.5,5.17
169,5.14
169.5,5.04
170,4.99
170.5,4.90
171,4.80
171.5,4.66
172,4.56
172.5,4.48
173,4.40
173.5,4.26
174,4.19
174.5,4.07
175,3.97
175.5,3.95
176,3.91
176.5,3.81
177,3.73
177.5,3.64
178,3.59
178.5,3.57
179,3.57
179.5,3.56
180,3.63
180.5,3.69
181,3.71
181.5,3.72
182,3.67
182.5,3.56
183,3.39
183.5,3.20
184,3.06
184.5,2.85
185,2.70
185.5,2.51
186,2.30
186.5,2.15
187,1.96
187.5,1.76
188,1.56
188.5,1.38
189,1.22
189.5,1.05
190,0.82
190.5,0.63
191,0.42
191.5,0.23
192,0.07
229.5,0.02
230,0.04
230.5,0.16
231,0.34
231.5,0.43
232,0.52
232.5,0.68
233,0.76
233.5,0.80
234,0.87
234.5,0.88
235,0.89
235.5,0.90
236,0.87
236.5,0.87
237,0.99
237.5,1.03
238,1.07
238.5,1.10
239,1.06
239.5,1.01
240,0.99
240.5,0.88
241,0.84
241.5,0.76
242,0.70
242.5,0.74
243,0.76
243.5,0.91
244,1.04
244.5,1.12
245,1.17
245.5,1.26
246,1.29
246.5,1.32
247,1.23
247.5,1.21
248,1.28
248.5,1.44
249,1.58
249.5,1.61
250,1.63
250.5,1.59
251,1.59
251.5,1.56
252,1.48
252.5,1.48
253,1.47
253.5,1.51
254,1.56
254.5,1.61
255,1.70
255.5,1.73
256,1.82
256.5,1.95
257,1.93
257.5,1.88
258,1.87
258.5,1.81
259,1.69
259.5,1.56
260,1.43
260.5,1.21
261,1.08
261.5,1.07
262,1.06
262.5,0.98
263,0.85
263.5,0.72
264,0.64
264.5,0.56
265,0.46
265.5,0.32
266,0.24
266.5,0.09
267,-0.00
268,0.08
268.5,0.13
269,0.39
269.5,0.70
270,0.79
270.5,0.82
271,0.76
271.5,0.68
272,0.64
272.5,0.62
273,0.54
273.5,0.42
274,0.38
274.5,0.33
275,0.24
275.5,0.09
276,0.02
276.5,0.03
303.5,0.03
304,0.07
304.5,0.13
305,0.16
305.5,0.22
306,0.23
306.5,0.17
307,0.16
307.5,0.35
308,0.53
308.5,0.50
309,0.28
309.5,0.29
310,0.38
310.5,0.36
311,0.30
311.5,0.17
312,0.16
312.5,0.18
313,0.06
315,0.02
315.5,0.12
316,0.37
316.5,0.45
317,0.44
317.5,0.34
318,0.26
318.5,0.01
379.5,0.07
380,0.12
380.5,0.14
381,0.06
381.5,0.07
382,0.05
382.5,0.04
383,0.01
385,0.04
385.5,0.29
386,0.40
386.5,0.31
387,0.35
387.5,0.28
388,0.23
388.5,0.11
389,0.01
391.5,0.07
392,0.18
392.5,0.18
393,0.21
393.5,0.25
394,0.24
394.5,0.28
395,0.27
395.5,0.25
396,0.20
396.5,0.16
397,0.14
397.5,0.15
398,0.17
398.5,0.11
399,0.05
399.5,0.00
424.5,0.03
425,0.09
425.5,0.14
426,0.20
426.5,0.20
427,0.20
427.5,0.22
428,0.21
428.5,0.17
429,0.19
429.5,0.21
430,0.23
430.5,0.21
431,0.16
431.5,0.14
432,0.08
432.5,0.02
433,-0.00
433.5,0.05
434,0.08
434.5,0.08
435,0.12
435.5,0.18
436,0.24
436.5,0.36
437,0.41
437.5,0.51
438,0.60
438.5,0.68
439,0.72
439.5,0.76
440,0.85
440.5,0.88
441,0.93
441.5,0.93
442,0.92
442.5,0.90
443,0.94
443.5,0.95
444,0.97
444.5,1.06
445,1.14
445.5,1.27
446,1.32
446.5,1.47
447,1.64
447.5,1.74
448,1.91
448.5,2.00
449,2.16
449.5,2.39
450,2.61
450.5,2.84
451,3.08
451.5,3.31
452,3.51
452.5,3.77
453,3.99
453.5,3.99
454,4.28
454.5,4.41
455,4.67
455.5,4.92
456,5.18
456.5,5.39
457,5.58
457.5,5.66
458,5.86
458.5,5.93
459,6.08
459.5,6.15
460,6.13
460.5,6.11
461,6.03
461.5,5.96
462,5.96
462.5,5.88
463,5.86
463.5,5.88
464,5.81
464.5,5.77
465,5.79
465.5,5.89
466,5.92
466.5,6.06
467,6.08
467.5,6.19
468,6.23
468.5,6.27
469,6.21
469.5,6.20
470,6.20
470.5,6.21
471,6.22
471.5,6.13
472,6.11
472.5,6.02
473,6.00
473.5,5.99
474,5.96
474.5,6.02
475,6.10
475.5,6.29
476,6.48
476.5,6.55
477,6.59
477.5,6.68
478,6.69
478.5,6.75
479,6.73
479.5,6.72
480,6.69
480.5,6.69
481,6.73
481.5,6.70
482,6.72
482.5,6.71
483,6.72
483.5,6.83
484,6.87
484.5,6.91
485,6.94
485.5,7.00
486,7.03
486.5,7.08
487,7.10
487.5,7.11
488,7.10
488.5,7.11
489,7.11
489.5,7.15
490,7.14
490.5,7.16
491,7.16
491.5,7.16
492,7.17
492.5,7.14
493,7.13
493.5,7.10
494,7.11
494.5,7.07
495,7.04
495.5,6.99
496,7.02
496.5,7.07
497,7.11
497.5,7.10
498,7.09
498.5,7.12
499,7.15
499.5,7.26
500,7.36
500.5,7.43
501,7.57
501.5,7.72
502,7.83
502.5,7.96
503,8.07
503.5,8.15
504,8.30
504.5,8.41
505,8.50
505.5,8.58
506,8.67
506.5,8.80
507,8.96
507.5,9.16
508,9.39
508.5,9.61
509,9.84
509.5,10.04
510,10.29
510.5,10.54
511,10.77
511.5,10.91
512,11.13
512.5,11.37
513,11.64
513.5,11.94
514,12.22
514.5,12.53
515,12.75
515.5,13.01
516,13.32
516.5,13.59
517,13.81
517.5,14.00
518,14.19
518.5,14.41
519,14.56
519.5,14.65
520,14.73
