secs,9c+ 18:10+0&gt;1
1.5,0.00
2,0.00
2.5,0.00
3,0.01
3.5,-0.00
4,-0.00
4.5,0.00
5,0.02
5.5,0.01
6,0.03
6.5,0.04
7,0.05
7.5,0.07
8,0.08
8.5,0.09
9,0.08
9.5,0.09
10,0.11
10.5,0.10
11,0.11
11.5,0.12
12,0.13
12.5,0.13
13,0.15
13.5,0.14
14,0.16
14.5,0.16
15,0.17
15.5,0.20
16,0.21
16.5,0.23
17,0.28
17.5,0.43
18,0.54
18.5,0.68
19,0.73
19.5,0.79
20,0.84
20.5,0.90
21,0.95
21.5,0.97
22,1.00
22.5,1.01
23,1.04
23.5,1.06
24,1.07
24.5,1.07
25,1.09
25.5,1.08
26,1.07
26.5,1.08
27,1.05
27.5,1.05
28,1.05
28.5,1.05
29,1.05
29.5,1.06
30,1.05
30.5,1.06
31,1.10
31.5,1.09
32,1.06
32.5,1.01
33,0.97
