secs,&nbsp;4 12:47+30&gt;3
1,0.46
1.5,0.66
2,0.76
2.5,0.61
3,0.39
3.5,0.23
4,0.26
4.5,0.31
5,0.42
5.5,0.40
6,0.33
6.5,0.32
7,0.32
7.5,0.34
8,0.38
8.5,0.36
9,0.30
9.5,0.29
10,0.27
10.5,0.28
11,0.26
11.5,0.23
12,0.22
12.5,0.25
13,0.25
13.5,0.27
14,0.31
14.5,0.32
15,0.25
15.5,0.19
16,0.04
20,0.01
20.5,0.04
21,-0.00
21.5,0.02
22,0.06
22.5,0.18
23,0.24
23.5,0.22
24,0.18
24.5,0.18
25,0.20
25.5,0.26
26,0.34
26.5,0.37
27,0.36
27.5,0.35
28,0.30
28.5,0.24
29,0.18
29.5,0.11
30,0.05
34,-0.00
34.5,0.09
35,0.19
35.5,0.22
36,0.20
36.5,0.18
37,0.19
37.5,0.15
38,0.15
38.5,0.18
39,0.26
39.5,0.35
40,0.39
40.5,0.39
41,0.34
41.5,0.24
42,0.18
42.5,0.11
43,0.01
49.5,0.07
50,0.10
50.5,0.09
51,0.03
54.5,0.02
55,0.03
55.5,0.01
56,0.02
56.5,0.06
57,0.09
57.5,0.13
58,0.14
58.5,0.12
59,0.11
59.5,0.18
60,0.12
60.5,0.09
61,0.07
61.5,0.11
62,0.14
62.5,0.18
63,0.21
63.5,0.24
64,0.35
64.5,0.40
65,0.38
65.5,0.21
66,0.04
66.5,0.04
67,0.12
67.5,0.35
68,0.47
68.5,0.45
69,0.38
69.5,0.22
70,0.04
71.5,0.03
72,0.08
72.5,0.14
73,0.27
73.5,0.27
74,0.13
74.5,0.05
75,0.07
75.5,0.00
76,0.00
76.5,0.04
77,0.21
77.5,0.48
78,0.75
78.5,0.88
79,0.90
79.5,0.77
80,0.60
80.5,0.52
81,0.53
81.5,0.60
82,0.68
82.5,0.79
83,0.85
83.5,0.92
84,0.93
84.5,0.88
85,0.87
85.5,0.86
86,0.92
86.5,0.97
87,1.00
87.5,0.96
88,0.90
88.5,0.74
89,0.63
89.5,0.55
90,0.52
90.5,0.46
91,0.51
91.5,0.54
92,0.60
92.5,0.63
93,0.58
93.5,0.57
94,0.54
94.5,0.50
95,0.47
95.5,0.41
96,0.35
96.5,0.31
97,0.27
97.5,0.22
98,0.22
98.5,0.19
99,0.20
99.5,0.22
100,0.21
100.5,0.24
101,0.28
101.5,0.34
102,0.33
102.5,0.22
103,0.17
103.5,0.22
104,0.29
104.5,0.31
105,0.31
105.5,0.34
106,0.40
106.5,0.50
107,0.58
107.5,0.59
108,0.55
108.5,0.52
109,0.50
109.5,0.55
110,0.53
110.5,0.50
111,0.42
111.5,0.42
112,0.54
112.5,0.56
113,0.63
113.5,0.62
114,0.65
114.5,0.70
115,0.66
115.5,0.54
116,0.47
116.5,0.39
117,0.33
117.5,0.29
118,0.27
118.5,0.24
119,0.16
119.5,0.23
120,0.39
120.5,0.50
121,0.60
121.5,0.63
122,0.65
122.5,0.64
123,0.59
123.5,0.59
124,0.68
124.5,0.68
125,0.62
125.5,0.52
126,0.48
126.5,0.44
127,0.41
127.5,0.36
128,0.35
128.5,0.36
129,0.38
129.5,0.40
130,0.42
130.5,0.47
131,0.47
131.5,0.45
132,0.38
132.5,0.34
133,0.27
133.5,0.24
134,0.24
134.5,0.25
135,0.34
135.5,0.39
136,0.53
136.5,0.66
137,0.72
137.5,0.75
138,0.74
138.5,0.66
139,0.58
139.5,0.51
140,0.47
140.5,0.44
141,0.40
141.5,0.41
142,0.37
142.5,0.41
143,0.40
143.5,0.35
144,0.27
144.5,0.17
145,0.07
145.5,0.06
146,0.05
146.5,0.13
147,0.19
147.5,0.21
148,0.24
148.5,0.23
149,0.23
149.5,0.23
150,0.17
150.5,0.04
152.5,0.09
153,0.16
153.5,0.20
154,0.16
154.5,0.16
155,0.12
155.5,0.11
156,0.25
156.5,0.36
157,0.43
157.5,0.47
158,0.53
158.5,0.48
159,0.43
159.5,0.36
160,0.35
160.5,0.29
161,0.30
161.5,0.24
162,0.17
162.5,0.09
163,0.08
163.5,0.05
164,0.01
166,0.01
166.5,0.11
167,0.27
167.5,0.34
168,0.31
168.5,0.30
169,0.35
169.5,0.36
170,0.41
170.5,0.44
171,0.44
171.5,0.44
172,0.31
172.5,0.32
173,0.42
173.5,0.57
174,0.74
174.5,0.70
175,0.36
175.5,0.22
176,0.16
176.5,0.17
177,0.24
177.5,0.36
178,0.42
178.5,0.48
179,0.48
179.5,0.43
180,0.46
180.5,0.57
181,0.65
181.5,0.73
182,0.81
182.5,0.97
183,0.91
183.5,0.89
184,0.90
184.5,0.82
185,0.72
185.5,0.77
186,0.84
186.5,0.83
187,0.72
187.5,0.61
188,0.37
188.5,0.10
190.5,0.04
191,0.15
191.5,0.30
192,0.40
192.5,0.41
193,0.41
193.5,0.38
194,0.35
194.5,0.34
195,0.31
195.5,0.30
196,0.26
196.5,0.24
197,0.26
197.5,0.28
198,0.26
198.5,0.23
199,0.17
199.5,0.12
200,0.09
200.5,0.11
201,0.10
201.5,0.13
202,0.17
202.5,0.16
203,0.19
203.5,0.18
204,0.17
204.5,0.18
205,0.16
205.5,0.13
206,0.13
206.5,0.15
207,0.13
207.5,0.12
208,0.09
208.5,0.12
209,0.10
209.5,0.14
210,0.13
210.5,0.14
211,0.13
211.5,0.10
212,0.09
212.5,0.08
213,0.21
213.5,0.13
214,0.09
214.5,0.02
220,0.02
220.5,0.09
221,0.21
221.5,0.35
222,0.47
222.5,0.53
223,0.49
223.5,0.56
224,0.58
224.5,0.57
225,0.58
225.5,0.55
226,0.52
226.5,0.49
227,0.48
227.5,0.49
228,0.45
228.5,0.33
229,0.21
229.5,0.07
230,0.00
232,0.08
232.5,0.27
233,0.40
233.5,0.53
234,0.62
234.5,0.59
235,0.48
235.5,0.42
236,0.29
236.5,0.25
237,0.26
237.5,0.21
238,0.12
238.5,0.08
239,0.04
239.5,0.06
240,0.10
240.5,0.21
241,0.24
241.5,0.29
242,0.35
242.5,0.37
243,0.43
243.5,0.42
244,0.40
244.5,0.35
245,0.32
245.5,0.35
246,0.39
246.5,0.47
247,0.54
247.5,0.63
248,0.71
248.5,0.76
249,0.88
249.5,1.06
250,0.96
250.5,0.79
251,0.72
251.5,0.74
252,0.78
252.5,0.82
253,0.81
253.5,0.73
254,0.65
254.5,0.57
255,0.44
255.5,0.36
256,0.17
256.5,0.06
257,0.02
261.5,0.01
262,0.07
262.5,0.14
263,0.18
263.5,0.22
264,0.26
264.5,0.30
265,0.33
265.5,0.33
266,0.28
266.5,0.22
267,0.18
267.5,0.14
268,0.10
268.5,0.05
269,0.03
269.5,0.06
270,0.09
270.5,0.05
271,0.12
271.5,0.17
272,0.18
272.5,0.19
273,0.14
273.5,0.24
274,0.33
274.5,0.39
275,0.40
275.5,0.39
276,0.32
276.5,0.27
277,0.28
277.5,0.35
278,0.41
278.5,0.35
279,0.36
279.5,0.47
280,0.47
280.5,0.37
281,0.20
281.5,0.12
282,0.12
282.5,0.18
283,0.24
283.5,0.26
284,0.32
284.5,0.36
285,0.42
285.5,0.48
286,0.57
286.5,0.69
287,0.76
287.5,0.74
288,0.67
288.5,0.71
289,0.79
289.5,0.91
290,1.08
290.5,1.14
291,1.12
291.5,1.22
292,1.28
292.5,1.33
293,1.44
293.5,1.54
294,1.59
294.5,1.63
295,1.59
295.5,1.48
296,1.34
296.5,1.29
297,1.26
297.5,1.22
298,1.12
298.5,1.06
299,1.05
299.5,1.04
300,1.04
300.5,1.00
301,0.96
301.5,0.92
302,0.89
302.5,0.79
303,0.75
303.5,0.70
304,0.67
304.5,0.66
305,0.70
305.5,0.74
306,0.75
306.5,0.79
307,0.84
307.5,0.86
308,0.89
308.5,0.88
309,0.83
309.5,0.75
310,0.67
310.5,0.60
311,0.54
311.5,0.45
312,0.38
312.5,0.28
313,0.20
313.5,-0.00
317,0.02
317.5,0.27
318,0.48
318.5,0.60
319,0.65
319.5,0.60
320,0.43
320.5,0.26
321,0.14
321.5,0.13
322,0.08
322.5,0.02
325,-0.00
325.5,0.12
326,0.20
326.5,0.25
327,0.22
327.5,0.23
328,0.36
328.5,0.53
329,0.61
329.5,0.72
330,0.67
330.5,0.57
331,0.48
331.5,0.31
332,0.26
332.5,0.29
333,0.33
333.5,0.34
334,0.49
334.5,0.57
335,0.74
335.5,0.82
336,0.74
336.5,0.77
337,0.85
337.5,0.90
338,0.87
338.5,0.85
339,0.84
339.5,0.84
340,0.88
340.5,0.99
341,1.09
341.5,1.15
342,1.22
342.5,1.29
343,1.29
343.5,1.39
344,1.46
344.5,1.53
345,1.52
345.5,1.52
346,1.53
346.5,1.50
347,1.48
347.5,1.48
348,1.44
348.5,1.41
349,1.36
349.5,1.35
350,1.34
350.5,1.38
351,1.37
351.5,1.31
352,1.30
352.5,1.33
353,1.33
353.5,1.29
354,1.22
354.5,1.18
355,1.13
355.5,1.06
356,0.94
356.5,0.93
357,0.92
357.5,0.86
358,0.83
358.5,0.80
359,0.75
359.5,0.69
360,0.63
360.5,0.64
361,0.62
361.5,0.62
362,0.61
362.5,0.61
363,0.56
363.5,0.52
364,0.56
364.5,0.64
365,0.75
365.5,0.84
366,0.92
366.5,0.96
367,1.00
367.5,1.01
368,1.07
368.5,1.12
369,1.14
369.5,1.20
370,1.27
370.5,1.26
371,1.21
371.5,1.20
372,1.34
372.5,1.50
373,1.59
373.5,1.69
374,1.73
374.5,1.60
375,1.40
375.5,1.28
376,1.18
376.5,1.05
377,0.92
377.5,0.90
378,0.92
378.5,0.94
379,0.97
379.5,0.93
380,0.91
380.5,1.11
381,1.16
381.5,1.11
382,1.13
382.5,1.17
383,1.16
383.5,1.12
384,1.14
384.5,1.10
385,1.09
385.5,1.21
386,1.32
386.5,1.38
387,1.44
387.5,1.42
388,1.41
388.5,1.39
389,1.39
389.5,1.36
390,1.33
390.5,1.29
391,1.17
391.5,1.04
392,0.90
392.5,0.89
393,0.91
393.5,0.88
394,0.95
394.5,1.08
395,1.19
395.5,1.26
396,1.31
396.5,1.33
397,1.33
397.5,1.25
398,1.19
398.5,1.10
399,1.07
399.5,1.00
400,0.98
400.5,1.06
401,1.04
401.5,0.92
402,0.82
402.5,0.85
403,0.90
403.5,0.99
404,0.98
404.5,0.97
405,1.04
405.5,1.11
406,1.11
406.5,1.15
407,1.22
407.5,1.20
408,1.15
408.5,1.10
409,1.03
409.5,0.93
410,0.89
410.5,0.90
411,0.98
411.5,1.12
412,1.24
412.5,1.30
413,1.36
413.5,1.32
414,1.32
414.5,1.27
415,1.24
415.5,1.24
416,1.22
416.5,1.16
417,1.12
417.5,1.04
418,0.97
418.5,0.90
419,0.90
419.5,0.91
420,0.99
420.5,1.10
421,1.16
421.5,1.26
422,1.35
422.5,1.46
423,1.53
423.5,1.54
424,1.52
424.5,1.47
425,1.39
425.5,1.30
426,1.22
426.5,1.21
427,1.17
427.5,1.13
428,1.10
428.5,1.06
429,1.05
429.5,1.07
430,1.14
430.5,1.28
431,1.48
431.5,1.67
432,1.73
432.5,1.81
433,1.83
433.5,1.79
434,1.75
434.5,1.70
435,1.65
435.5,1.57
436,1.52
436.5,1.47
437,1.44
437.5,1.47
438,1.46
438.5,1.44
439,1.40
439.5,1.33
440,1.22
440.5,1.10
441,1.14
441.5,1.13
442,1.18
442.5,1.17
443,1.20
443.5,1.20
444,1.04
444.5,0.97
445,1.11
445.5,1.27
446,1.42
446.5,1.56
447,1.59
447.5,1.59
448,1.56
448.5,1.59
449,1.55
449.5,1.53
450,1.48
450.5,1.38
451,1.28
451.5,1.21
452,1.11
452.5,1.01
453,0.94
453.5,0.85
454,0.76
454.5,0.67
455,0.64
455.5,0.56
456,0.58
456.5,0.58
457,0.42
457.5,0.48
458,0.63
458.5,0.86
459,1.04
459.5,1.17
460,1.20
460.5,1.26
461,1.25
461.5,1.21
462,1.14
462.5,1.06
463,1.01
463.5,1.05
464,1.05
464.5,1.04
465,0.98
465.5,0.98
466,0.95
466.5,0.90
467,0.78
467.5,0.65
468,0.53
468.5,0.43
469,0.30
469.5,0.29
470,0.39
470.5,0.55
471,0.59
471.5,0.68
472,0.68
472.5,0.67
473,0.65
473.5,0.60
474,0.71
474.5,0.72
475,0.64
475.5,0.63
476,0.61
476.5,0.57
477,0.58
477.5,0.54
478,0.47
478.5,0.46
479,0.48
479.5,0.58
480,0.67
480.5,0.83
481,1.05
481.5,1.24
482,1.29
482.5,1.42
483,1.45
483.5,1.35
484,1.17
484.5,0.99
485,0.84
485.5,0.73
486,0.69
486.5,0.75
487,0.99
487.5,1.16
488,1.49
488.5,1.58
489,1.43
489.5,1.14
490,0.99
