secs,4 18:14+1&gt;18,9c+ 18:10+0&gt;1
0,0.00,NaN
1,0.00,NaN
1.5,0.00,0.00
2,0.00,0.00
2.5,0.00,0.00
3,0.00,0.01
3.5,0.00,-0.00
4,0.00,-0.00
4.5,0.00,0.00
5,NaN,0.02
5.5,NaN,0.01
6,NaN,0.03
6.5,NaN,0.04
7,NaN,0.05
7.5,NaN,0.07
8,NaN,0.08
8.5,NaN,0.09
9,NaN,0.08
9.5,NaN,0.09
10,NaN,0.11
10.5,NaN,0.10
11,NaN,0.11
11.5,NaN,0.12
12,NaN,0.13
12.5,NaN,0.13
13,NaN,0.15
13.5,NaN,0.14
14,NaN,0.16
14.5,NaN,0.16
15,NaN,0.17
15.5,NaN,0.20
16,NaN,0.21
16.5,NaN,0.23
17,NaN,0.28
17.5,NaN,0.43
18,NaN,0.54
18.5,NaN,0.68
19,NaN,0.73
19.5,NaN,0.79
20,NaN,0.84
20.5,NaN,0.90
21,NaN,0.95
21.5,NaN,0.97
22,NaN,1.00
22.5,NaN,1.01
23,NaN,1.04
23.5,NaN,1.06
24,NaN,1.07
24.5,NaN,1.07
25,NaN,1.09
25.5,NaN,1.08
26,NaN,1.07
26.5,NaN,1.08
27,NaN,1.05
27.5,NaN,1.05
28,NaN,1.05
28.5,NaN,1.05
29,NaN,1.05
29.5,NaN,1.06
30,NaN,1.05
30.5,NaN,1.06
31,NaN,1.10
31.5,NaN,1.09
32,NaN,1.06
32.5,NaN,1.01
33,NaN,0.97
58.5,18.33,NaN
59,16.63,NaN
59.5,15.08,NaN
60,12.37,NaN
60.5,10.13,NaN
61,8.27,NaN
61.5,6.72,NaN
62,6.06,NaN
62.5,4.90,NaN
63,3.92,NaN
63.5,3.08,NaN
64,2.33,NaN
64.5,2.01,NaN
65,1.44,NaN
65.5,0.95,NaN
66,0.57,NaN
66.5,0.24,NaN
67,0.10,NaN
