secs,&nbsp;5a 17:33+0&gt;12
1,0.00
1.5,0.24
2,0.23
2.5,0.19
3,0.22
3.5,0.32
4,0.43
4.5,0.59
5,0.73
5.5,0.77
6,0.90
6.5,0.99
7,1.11
7.5,1.19
8,1.22
8.5,1.25
9,1.29
9.5,1.33
10,1.42
10.5,1.51
11,1.65
11.5,1.79
12,1.84
12.5,2.01
13,2.17
13.5,2.35
14,2.52
14.5,2.68
15,2.82
15.5,2.99
16,3.15
16.5,3.26
17,3.41
17.5,3.55
18,3.61
18.5,3.79
19,3.96
19.5,4.13
20,4.30
20.5,4.51
21,4.66
21.5,4.89
22,5.05
22.5,5.24
23,5.40
23.5,5.60
24,5.71
24.5,5.86
25,6.01
25.5,6.15
26,6.30
26.5,6.47
27,6.59
27.5,6.71
28,6.81
28.5,6.96
29,7.08
29.5,7.22
30,7.29
30.5,7.45
31,7.59
31.5,7.70
32,7.83
32.5,7.98
33,8.09
33.5,8.24
34,8.38
34.5,8.55
35,8.72
35.5,8.79
36,8.96
36.5,9.09
37,9.23
37.5,9.41
38,9.56
38.5,9.70
39,9.84
39.5,10.01
40,10.19
40.5,10.35
41,10.43
41.5,10.61
42,10.77
42.5,10.94
43,11.12
43.5,11.27
44,11.42
44.5,11.58
45,11.70
45.5,11.86
46,11.95
46.5,11.99
47,12.10
47.5,12.19
48,12.27
48.5,12.33
49,12.35
49.5,12.38
50,12.41
50.5,12.37
51,12.35
51.5,12.33
52,12.32
52.5,12.32
53,12.27
53.5,12.24
54,12.16
54.5,12.16
